user_id,group,signup_date,day_7_retained
1,A,2025-03-04,1
2,B,2025-01-18,0
3,A,2025-03-31,1
4,A,2025-02-13,0
5,A,2025-02-03,0
6,B,2025-03-15,1
7,A,2025-03-03,1
8,A,2025-04-10,0
9,A,2025-01-14,0
10,B,2025-04-05,0
11,A,2025-02-17,0
12,A,2025-01-15,0
13,A,2025-03-13,1
14,A,2025-03-19,1
15,B,2025-03-28,1
16,A,2025-03-03,1
17,B,2025-02-09,1
18,B,2025-03-26,1
19,B,2025-03-21,1
20,A,2025-03-23,0
21,B,2025-02-22,0
22,A,2025-01-24,0
23,B,2025-01-26,1
24,B,2025-03-30,1
25,B,2025-03-01,1
26,B,2025-02-10,1
27,B,2025-01-29,1
28,B,2025-01-15,0
29,B,2025-02-14,0
30,B,2025-03-06,0
31,A,2025-03-30,0
32,A,2025-03-12,1
33,B,2025-01-09,1
34,B,2025-03-29,1
35,B,2025-01-01,1
36,A,2025-01-08,0
37,B,2025-03-29,1
38,A,2025-03-04,0
39,A,2025-01-11,0
40,A,2025-03-22,0
41,A,2025-01-08,1
42,A,2025-02-04,1
43,B,2025-02-04,1
44,B,2025-02-02,1
45,B,2025-01-05,0
46,B,2025-02-10,1
47,B,2025-01-28,0
48,A,2025-01-07,0
49,B,2025-03-14,0
50,B,2025-03-13,1
51,A,2025-01-12,1
52,B,2025-02-03,1
53,A,2025-02-02,0
54,B,2025-02-17,0
55,A,2025-01-23,0
56,B,2025-03-03,1
57,B,2025-03-29,1
58,A,2025-02-06,1
59,A,2025-04-09,1
60,A,2025-02-13,1
61,A,2025-03-27,1
62,A,2025-04-01,1
63,A,2025-02-04,1
64,A,2025-03-06,0
65,A,2025-04-09,0
66,B,2025-02-16,0
67,B,2025-03-19,1
68,A,2025-01-03,0
69,B,2025-01-01,0
70,B,2025-01-05,0
71,B,2025-03-31,0
72,B,2025-01-14,1
73,A,2025-01-27,1
74,B,2025-01-09,1
75,A,2025-03-20,1
76,B,2025-01-15,1
77,B,2025-03-31,1
78,B,2025-02-11,0
79,A,2025-03-18,1
80,B,2025-02-20,1
81,A,2025-03-04,0
82,B,2025-04-06,1
83,A,2025-02-21,1
84,B,2025-04-06,1
85,A,2025-01-04,0
86,A,2025-04-04,0
87,B,2025-01-23,1
88,A,2025-01-15,0
89,B,2025-02-12,0
90,B,2025-01-29,1
91,B,2025-02-05,0
92,B,2025-01-13,0
93,B,2025-02-01,1
94,B,2025-03-12,0
95,B,2025-02-28,0
96,B,2025-03-27,1
97,B,2025-01-28,1
98,B,2025-03-07,1
99,B,2025-02-11,0
100,A,2025-02-14,1
